ONS_Code,Population_12m,PCV_12m,Population_24m,PCV_24m,Year,Quarter,Timepoint,Vaccine_Schedule
E08000031,808,88.7376237623763,827,86.9407496977025,2020/2021,Q1,0,1
E10000028,2053,96.5903555772041,2170,94.6082949308756,2020/2021,Q1,0,1
E10000031,1512,94.8412698412698,1524,93.9632545931758,2020/2021,Q1,0,1
E10000034,1426,95.5820476858345,1470,94.0816326530612,2020/2021,Q1,0,1
E06000031,591,91.3705583756345,674,89.6142433234421,2020/2021,Q1,0,1
E06000032,851,91.186839012926,835,86.9461077844311,2020/2021,Q1,0,1
E06000033,511,93.7377690802349,533,93.9962476547842,2020/2021,Q1,0,1
E06000034,600,93.5,622,90.5144694533762,2020/2021,Q1,0,1
E06000055,512,95.1171875,532,93.2330827067669,2020/2021,Q1,0,1
E06000056,834,95.4436450839328,869,94.5914844649022,2020/2021,Q1,0,1
E10000003,1689,96.0331557134399,1746,94.2153493699885,2020/2021,Q1,0,1
E10000012,4000,94.8,4172,93.5043144774688,2020/2021,Q1,0,1
E10000015,3370,92.6112759643917,3539,91.6925685221814,2020/2021,Q1,0,1
E10000020,1996,95.7414829659319,2149,94.8348068869242,2020/2021,Q1,0,1
E10000029,1775,95.7183098591549,1875,94.24,2020/2021,Q1,0,1
E09000002,881,88.8762769580023,925,84.1081081081081,2020/2021,Q1,0,1
E09000003,1227,88.9160554197229,1270,84.3307086614173,2020/2021,Q1,0,1
E09000004,719,90.4033379694019,739,87.2801082543978,2020/2021,Q1,0,1
E09000005,1189,88.3936080740118,1082,82.5323475046211,2020/2021,Q1,0,1
E09000006,952,93.5924369747899,1001,87.6123876123876,2020/2021,Q1,0,1
E09000007,617,80.8752025931929,671,78.6885245901639,2020/2021,Q1,0,1
E09000008,1255,90.3585657370518,1350,82.2222222222222,2020/2021,Q1,0,1
E09000009,1289,91.155934833204,1153,82.4804856895056,2020/2021,Q1,0,1
E09000010,1084,90.4981549815498,1084,80.0738007380074,2020/2021,Q1,0,1
E09000011,1051,88.5823025689819,1064,83.7406015037594,2020/2021,Q1,0,1
E09000012,1047,73.2569245463228,1046,71.1281070745698,2020/2021,Q1,0,1
E09000013,564,87.0567375886525,547,79.5246800731262,2020/2021,Q1,0,1
E09000014,875,83.8857142857143,938,80.9168443496802,2020/2021,Q1,0,1
E09000015,872,86.2385321100918,914,82.7133479212254,2020/2021,Q1,0,1
E09000016,868,94.2396313364055,879,90.5574516496018,2020/2021,Q1,0,1
E09000017,922,91.1062906724512,1011,84.5697329376855,2020/2021,Q1,0,1
E09000018,962,90.7484407484408,982,80.7535641547861,2020/2021,Q1,0,1
E09000019,642,86.7601246105919,646,80.6501547987616,2020/2021,Q1,0,1
E09000020,565,81.9469026548673,548,76.4598540145985,2020/2021,Q1,0,1
E09000021,539,92.0222634508349,550,86.3636363636364,2020/2021,Q1,0,1
E09000022,1039,89.1241578440808,1021,80.9010773751224,2020/2021,Q1,0,1
E09000023,1066,88.9305816135084,1088,83.639705882353,2020/2021,Q1,0,1
E09000024,601,92.0133111480865,673,85.8841010401189,2020/2021,Q1,0,1
E09000025,1378,89.8403483309144,1371,85.5579868708972,2020/2021,Q1,0,1
E09000026,1069,88.8681010289991,1154,85.0953206239168,2020/2021,Q1,0,1
E09000027,550,92.1818181818182,597,86.7671691792295,2020/2021,Q1,0,1
E09000028,936,87.0726495726496,919,82.6985854189336,2020/2021,Q1,0,1
E09000029,625,93.92,610,90.4918032786885,2020/2021,Q1,0,1
E09000030,1040,91.6346153846154,1082,87.9852125693161,2020/2021,Q1,0,1
E09000031,1105,90.316742081448,1093,82.2506861848124,2020/2021,Q1,0,1
E09000032,1153,92.714657415438,1164,85.6529209621993,2020/2021,Q1,0,1
E09000033,473,83.5095137420719,472,74.7881355932204,2020/2021,Q1,0,1
E06000035,868,90.5529953917051,883,89.2412231030578,2020/2021,Q1,0,1
E06000036,345,97.9710144927536,371,95.6873315363882,2020/2021,Q1,0,1
E06000037,372,94.6236559139785,393,95.9287531806616,2020/2021,Q1,0,1
E06000038,637,93.2496075353218,673,92.1248142644874,2020/2021,Q1,0,1
E06000039,544,93.9338235294118,573,90.5759162303665,2020/2021,Q1,0,1
E06000040,398,95.4773869346734,421,93.5866983372922,2020/2021,Q1,0,1
E06000041,364,94.7802197802198,346,93.9306358381503,2020/2021,Q1,0,1
E06000042,905,96.5745856353591,866,92.378752886836,2020/2021,Q1,0,1
E06000043,556,92.9856115107914,648,91.6666666666667,2020/2021,Q1,0,1
E06000044,565,95.929203539823,604,94.205298013245,2020/2021,Q1,0,1
E06000045,707,94.7666195190948,803,94.7696139476962,2020/2021,Q1,0,1
E06000046,286,91.958041958042,271,88.929889298893,2020/2021,Q1,0,1
E10000002,1430,93.5664335664336,1558,93.9666238767651,2020/2021,Q1,0,1
E10000011,1208,93.9569536423841,1278,91.9405320813772,2020/2021,Q1,0,1
E10000014,3412,95.5158264947245,3454,97.7996525767226,2020/2021,Q1,0,1
E10000016,4099,93.1690656257624,4399,91.2707433507615,2020/2021,Q1,0,1
E10000025,1866,94.6409431939979,1972,95.5375253549696,2020/2021,Q1,0,1
E10000030,2981,93.5927541093593,3242,91.1474398519433,2020/2021,Q1,0,1
E10000032,2063,96.752302472128,2230,94.5291479820628,2020/2021,Q1,0,1
E06000022,442,97.2850678733032,452,95.575221238938,2020/2021,Q1,0,1
E06000023,1422,93.6708860759494,1405,90.5338078291815,2020/2021,Q1,0,1
E06000024,482,96.4730290456432,545,94.8623853211009,2020/2021,Q1,0,1
E06000025,724,95.9944751381215,770,93.6363636363637,2020/2021,Q1,0,1
E06000026,690,95.3623188405797,718,96.7966573816156,2020/2021,Q1,0,1
E06000027,307,94.7882736156352,300,94.3333333333334,2020/2021,Q1,0,1
E06000030,680,96.0294117647059,699,91.4163090128756,2020/2021,Q1,0,1
E06000052,1187,92.9233361415333,1300,92.5384615384615,2020/2021,Q1,0,1
E06000054,1185,96.8776371308017,1258,95.4689984101749,2020/2021,Q1,0,1
E10000008,1622,95.9309494451295,1725,94.5507246376812,2020/2021,Q1,0,1
E06000059,744,96.505376344086,797,94.7302383939774,2020/2021,Q1,0,1
E10000013,1593,95.4174513496547,1674,93.8470728793309,2020/2021,Q1,0,1
E10000027,1301,94.5426594926979,1325,93.5094339622642,2020/2021,Q1,0,1
E06000058,845,95.2662721893491,896,93.0803571428571,2020/2021,Q1,0,1
E06000001,248,96.7741935483871,267,95.5056179775281,2020/2021,Q2,1,1
E06000002,475,93.8947368421053,488,92.0081967213115,2020/2021,Q2,1,1
E06000003,344,95.9302325581395,351,95.1566951566952,2020/2021,Q2,1,1
E06000004,548,97.0802919708029,548,95.4379562043796,2020/2021,Q2,1,1
E06000005,249,94.3775100401606,301,94.3521594684385,2020/2021,Q2,1,1
E06000047,1337,97.6065818997756,1316,96.580547112462,2020/2021,Q2,1,1
E08000021,758,92.6121372031662,800,94.25,2020/2021,Q2,1,1
E08000022,539,97.7736549165121,582,97.4226804123711,2020/2021,Q2,1,1
E08000023,390,98.4615384615385,391,97.4424552429668,2020/2021,Q2,1,1
E08000024,655,98.7786259541985,691,97.5397973950796,2020/2021,Q2,1,1
E08000037,547,95.2468007312614,499,93.5871743486974,2020/2021,Q2,1,1
E06000057,689,95.5007256894049,720,96.5277777777778,2020/2021,Q2,1,1
E06000006,367,93.4604904632153,356,93.8202247191011,2020/2021,Q2,1,1
E06000007,571,97.5481611208406,568,94.8943661971831,2020/2021,Q2,1,1
E06000008,519,93.2562620423892,561,92.156862745098,2020/2021,Q2,1,1
E06000009,437,93.5926773455378,473,89.8520084566596,2020/2021,Q2,1,1
E06000049,954,96.4360587002096,950,95.4736842105263,2020/2021,Q2,1,1
E06000050,924,91.1255411255411,954,92.7672955974843,2020/2021,Q2,1,1
E08000001,954,94.4444444444444,942,91.6135881104034,2020/2021,Q2,1,1
E08000002,557,93.8958707360862,608,87.5,2020/2021,Q2,1,1
E08000003,1909,91.042430591933,1904,87.8151260504202,2020/2021,Q2,1,1
E08000004,772,93.3937823834197,845,91.2426035502959,2020/2021,Q2,1,1
E08000005,734,95.5040871934605,741,91.497975708502,2020/2021,Q2,1,1
E08000006,872,91.9724770642202,935,89.1978609625669,2020/2021,Q2,1,1
E08000007,797,94.4792973651192,869,94.1311852704258,2020/2021,Q2,1,1
E08000008,743,94.0780619111709,743,91.9246298788694,2020/2021,Q2,1,1
E08000009,614,95.7654723127036,613,94.6166394779772,2020/2021,Q2,1,1
E08000010,849,96.4664310954064,905,94.3646408839779,2020/2021,Q2,1,1
E08000011,503,89.065606361829,512,86.9140625,2020/2021,Q2,1,1
E08000012,1555,89.1961414790997,1568,85.3316326530612,2020/2021,Q2,1,1
E08000013,486,89.3004115226338,510,88.2352941176471,2020/2021,Q2,1,1
E08000014,639,90.6103286384977,663,89.7435897435898,2020/2021,Q2,1,1
E08000015,836,94.4976076555024,829,93.7273823884198,2020/2021,Q2,1,1
E10000006,1125,96.5333333333333,1191,96.8933669185559,2020/2021,Q2,1,1
E10000017,3046,91.2015758371635,3135,91.0047846889952,2020/2021,Q2,1,1
E06000010,834,94.1247002398082,917,91.6030534351145,2020/2021,Q2,1,1
E06000011,708,96.7514124293785,673,96.7310549777118,2020/2021,Q2,1,1
E06000012,493,95.5375253549696,435,96.0919540229885,2020/2021,Q2,1,1
E06000013,445,94.1573033707865,421,91.2114014251781,2020/2021,Q2,1,1
E06000014,490,94.8979591836735,488,92.4180327868853,2020/2021,Q2,1,1
E08000016,722,96.1218836565097,672,95.8333333333333,2020/2021,Q2,1,1
E08000017,935,92.4064171122995,917,90.8396946564885,2020/2021,Q2,1,1
E08000018,661,95.7639939485628,715,96.3636363636364,2020/2021,Q2,1,1
E08000019,1542,93.2555123216602,1608,93.5945273631841,2020/2021,Q2,1,1
E08000032,1878,92.332268370607,1871,91.4484233030465,2020/2021,Q2,1,1
E08000033,590,93.728813559322,622,91.1575562700965,2020/2021,Q2,1,1
E08000034,1256,94.7452229299363,1235,94.9797570850202,2020/2021,Q2,1,1
E08000035,2362,92.0406435224386,2547,91.0482921083628,2020/2021,Q2,1,1
E08000036,1090,95.5045871559633,1092,95.3296703296703,2020/2021,Q2,1,1
E10000023,1346,93.7592867756315,1434,93.2357043235704,2020/2021,Q2,1,1
E06000015,851,92.7144535840188,886,89.5033860045147,2020/2021,Q2,1,1
E06000016,1209,92.8866832092639,1182,89.3401015228426,2020/2021,Q2,1,1
E06000017,82,93.9024390243902,78,96.1538461538462,2020/2021,Q2,1,1
E06000018,,,1049,89.4184938036225,2020/2021,Q2,1,1
E10000007,1907,95.8049292081804,1868,94.593147751606,2020/2021,Q2,1,1
E10000018,1797,97.384529771842,1821,96.0461285008237,2020/2021,Q2,1,1
E10000019,1785,92.6610644257703,1836,91.3398692810457,2020/2021,Q2,1,1
E10000021,2303,94.5288753799392,2303,92.4012158054711,2020/2021,Q2,1,1
E10000024,2034,95.5752212389381,2149,92.7873429502094,2020/2021,Q2,1,1
E06000019,408,96.3235294117647,433,93.0715935334873,2020/2021,Q2,1,1
E06000020,563,95.0266429840142,547,89.0310786106033,2020/2021,Q2,1,1
E06000021,858,94.988344988345,905,93.4806629834254,2020/2021,Q2,1,1
E06000051,702,95.4415954415954,690,95.5072463768116,2020/2021,Q2,1,1
E08000025,3915,81.3537675606641,4051,82.4981486052827,2020/2021,Q2,1,1
E08000026,1182,91.7089678510998,1195,90.8786610878661,2020/2021,Q2,1,1
E08000027,913,94.0854326396495,929,94.5102260495156,2020/2021,Q2,1,1
