ONS_Code,PCV_12m,PCV_24m,Population_12m,Population_24m,Year,Quarter,Timepoint,Vaccine_Schedule
E06000001,90.6,91.2,233,250,2018/2019,Q1,0,0
E06000002,92.4,90.3,488,463,2018/2019,Q1,0,0
E06000003,96,93.7,351,383,2018/2019,Q1,0,0
E06000004,96.5,95.1,567,570,2018/2019,Q1,0,0
E06000005,96.6,96.6,261,268,2018/2019,Q1,0,0
E06000047,98.5,97.7,1227,1372,2018/2019,Q1,0,0
E08000021,93.4,94.5,797,830,2018/2019,Q1,0,0
E08000022,98.2,96.9,505,551,2018/2019,Q1,0,0
E08000023,97.2,97.6,398,465,2018/2019,Q1,0,0
E08000024,97.6,94.3,743,737,2018/2019,Q1,0,0
E08000037,94.8,95.2,540,559,2018/2019,Q1,0,0
E06000057,92.6,90.8,663,765,2018/2019,Q1,0,0
E06000006,93.7,93.4,347,348,2018/2019,Q1,0,0
E06000007,95.6,96.1,498,586,2018/2019,Q1,0,0
E06000008,92.2,91.5,551,566,2018/2019,Q1,0,0
E06000009,91.8,92,441,449,2018/2019,Q1,0,0
E06000049,96.3,95.5,938,911,2018/2019,Q1,0,0
E06000050,92.8,95.2,879,884,2018/2019,Q1,0,0
E08000001,96.3,95,952,953,2018/2019,Q1,0,0
E08000002,92.1,88.5,557,609,2018/2019,Q1,0,0
E08000003,92.5,90.7,1862,1998,2018/2019,Q1,0,0
E08000004,95.9,92.7,831,849,2018/2019,Q1,0,0
E08000005,94.4,93.3,729,771,2018/2019,Q1,0,0
E08000006,93.2,93.6,839,854,2018/2019,Q1,0,0
E08000007,95.8,94.6,838,893,2018/2019,Q1,0,0
E08000008,91.9,91,626,670,2018/2019,Q1,0,0
E08000009,95.8,94.9,645,690,2018/2019,Q1,0,0
E08000010,96.4,96.1,913,904,2018/2019,Q1,0,0
E08000011,96.3,93.4,535,527,2018/2019,Q1,0,0
E08000012,94.1,93.1,1479,1491,2018/2019,Q1,0,0
E08000013,91.3,92,518,510,2018/2019,Q1,0,0
E08000014,94.2,91.3,638,646,2018/2019,Q1,0,0
E08000015,94.4,94.4,859,855,2018/2019,Q1,0,0
E10000006,96.9,97.5,1144,1223,2018/2019,Q1,0,0
E10000017,67.3,86.9,2983,3228,2018/2019,Q1,0,0
E06000010,93.8,93.1,909,896,2018/2019,Q1,0,0
E06000011,97,94.8,676,690,2018/2019,Q1,0,0
E06000012,97,96.7,467,483,2018/2019,Q1,0,0
E06000013,93.9,91.8,442,477,2018/2019,Q1,0,0
E06000014,95.4,94.1,460,495,2018/2019,Q1,0,0
E08000016,95.6,96.4,725,740,2018/2019,Q1,0,0
E08000017,92.9,93.1,893,897,2018/2019,Q1,0,0
E08000018,97,94.9,705,740,2018/2019,Q1,0,0
E08000019,93.7,93.2,1636,1599,2018/2019,Q1,0,0
E08000032,93,92.4,1937,1972,2018/2019,Q1,0,0
E08000033,91.5,93.9,590,627,2018/2019,Q1,0,0
E08000034,95.3,94.5,1295,1289,2018/2019,Q1,0,0
E08000035,94,92.8,2544,2553,2018/2019,Q1,0,0
E08000036,96.1,96.8,932,1003,2018/2019,Q1,0,0
E10000023,94.6,92.5,1309,1477,2018/2019,Q1,0,0
E06000015,93.9,91.1,825,867,2018/2019,Q1,0,0
E06000016,94.8,94.1,1196,1295,2018/2019,Q1,0,0
E06000017,95.9,95.8,74,96,2018/2019,Q1,0,0
E06000018,90.8,87.2,1046,1130,2018/2019,Q1,0,0
E10000007,96.1,95.6,1811,1902,2018/2019,Q1,0,0
E10000018,97.3,96.4,1659,1901,2018/2019,Q1,0,0
E10000019,93.9,89.7,1876,1900,2018/2019,Q1,0,0
E10000021,94.5,93.6,2124,2282,2018/2019,Q1,0,0
E10000024,96.1,93.4,2134,2126,2018/2019,Q1,0,0
E06000019,96.7,91.8,430,462,2018/2019,Q1,0,0
E06000020,95.9,93.9,536,527,2018/2019,Q1,0,0
E06000021,92.7,91.9,838,911,2018/2019,Q1,0,0
E06000051,95.7,94.5,679,725,2018/2019,Q1,0,0
E08000025,90.9,88.7,4149,4370,2018/2019,Q1,0,0
E08000026,92.6,82.1,1114,1239,2018/2019,Q1,0,0
E08000027,94.9,96.7,895,939,2018/2019,Q1,0,0
E08000028,92.8,92.2,1143,1186,2018/2019,Q1,0,0
E08000029,95.5,92.6,597,583,2018/2019,Q1,0,0
E08000030,95.1,94.6,937,922,2018/2019,Q1,0,0
E08000031,91.9,93.5,857,904,2018/2019,Q1,0,0
E10000028,96.3,93.9,2092,2186,2018/2019,Q1,0,0
E10000031,94.1,92,1416,1450,2018/2019,Q1,0,0
E10000034,94.6,90.7,1368,1552,2018/2019,Q1,0,0
E06000031,92.1,88.5,683,698,2018/2019,Q1,0,0
E06000032,89,84.5,899,895,2018/2019,Q1,0,0
E06000033,93.5,92.8,538,543,2018/2019,Q1,0,0
E06000034,92.4,86.5,603,651,2018/2019,Q1,0,0
E06000055,93.9,94.1,544,539,2018/2019,Q1,0,0
E06000056,96.6,95.3,774,833,2018/2019,Q1,0,0
E10000003,94.7,92.3,1746,1889,2018/2019,Q1,0,0
E10000012,94.4,92.4,4212,4368,2018/2019,Q1,0,0
E10000015,91.8,91.9,3534,3675,2018/2019,Q1,0,0
E10000020,96.2,95.2,2221,2312,2018/2019,Q1,0,0
E10000029,94.8,92.3,1898,1983,2018/2019,Q1,0,0
E09000002,91.1,83.9,1006,1012,2018/2019,Q1,0,0
E09000003,84.3,82.2,1391,1273,2018/2019,Q1,0,0
E09000004,92.2,88.4,728,743,2018/2019,Q1,0,0
E09000005,89.4,82.8,1255,1242,2018/2019,Q1,0,0
E09000006,93.6,89.8,1125,1130,2018/2019,Q1,0,0
E09000007,82.6,75,696,653,2018/2019,Q1,0,0
E09000008,85.7,79.5,1423,1450,2018/2019,Q1,0,0
E09000009,90,81.3,1264,1256,2018/2019,Q1,0,0
E09000010,81.7,78.5,1139,1160,2018/2019,Q1,0,0
E09000011,90.4,85.6,1096,1134,2018/2019,Q1,0,0
E09000012,76.7,73.9,1101,1099,2018/2019,Q1,0,0
E09000013,87.1,74.7,560,605,2018/2019,Q1,0,0
E09000014,74.2,77.9,993,1079,2018/2019,Q1,0,0
E09000015,88.2,82.4,846,885,2018/2019,Q1,0,0
E09000016,91.7,90.1,900,921,2018/2019,Q1,0,0
E09000017,91.9,83,1019,1106,2018/2019,Q1,0,0
E09000018,89.2,81.1,1078,1128,2018/2019,Q1,0,0
E09000019,85.3,81.1,730,718,2018/2019,Q1,0,0
E09000020,82,73.3,584,592,2018/2019,Q1,0,0
E09000021,88.9,84.9,649,624,2018/2019,Q1,0,0
E09000022,86.3,79.3,1126,1075,2018/2019,Q1,0,0
E09000023,89.1,84.2,1158,1072,2018/2019,Q1,0,0
E09000024,91.7,83,683,698,2018/2019,Q1,0,0
E09000025,80.5,74.1,1532,1516,2018/2019,Q1,0,0
E09000026,87.3,81.2,1219,1232,2018/2019,Q1,0,0
E09000027,90.8,82.1,609,671,2018/2019,Q1,0,0
E09000028,88.5,84.6,1005,1012,2018/2019,Q1,0,0
E09000029,90.2,92,564,603,2018/2019,Q1,0,0
E09000030,91.8,87.2,1140,1262,2018/2019,Q1,0,0
E09000031,87.2,84,1168,1130,2018/2019,Q1,0,0
E09000032,90.4,83.3,1225,1248,2018/2019,Q1,0,0
E09000033,85.3,71.3,517,477,2018/2019,Q1,0,0
E06000035,92.3,89.2,955,953,2018/2019,Q1,0,0
E06000036,97.3,92.6,338,378,2018/2019,Q1,0,0
E06000037,94.7,89.8,361,452,2018/2019,Q1,0,0
E06000038,92.4,88.3,707,734,2018/2019,Q1,0,0
E06000039,92.7,90,630,662,2018/2019,Q1,0,0
E06000040,96.4,93.7,386,473,2018/2019,Q1,0,0
E06000041,93.5,96,397,402,2018/2019,Q1,0,0
E06000042,96.5,93.3,892,982,2018/2019,Q1,0,0
E06000043,91.9,88.3,690,692,2018/2019,Q1,0,0
E06000044,96,93.5,603,628,2018/2019,Q1,0,0
E06000045,92.9,93.2,808,810,2018/2019,Q1,0,0
E06000046,92,85.6,289,285,2018/2019,Q1,0,0
E10000002,94.9,93.6,1517,1584,2018/2019,Q1,0,0
E10000011,92.5,92.9,1237,1296,2018/2019,Q1,0,0
E10000014,95.6,93.2,3547,3851,2018/2019,Q1,0,0
E10000016,92.7,90.7,4424,4306,2018/2019,Q1,0,0
E10000025,95.9,93.4,1881,2030,2018/2019,Q1,0,0
E10000030,90.5,87.3,3270,3654,2018/2019,Q1,0,0
E10000032,95.3,94.1,2192,2258,2018/2019,Q1,0,0
E06000022,95.9,93.9,412,505,2018/2019,Q1,0,0
E06000023,93.7,90.2,1505,1564,2018/2019,Q1,0,0
E06000024,97.5,95.4,553,584,2018/2019,Q1,0,0
E06000025,96.2,94.4,754,733,2018/2019,Q1,0,0
E06000026,95.4,94.9,725,751,2018/2019,Q1,0,0
E06000027,95.2,96.3,332,354,2018/2019,Q1,0,0
E06000030,92.8,92.2,740,746,2018/2019,Q1,0,0
E06000052,93.7,92.3,1294,1399,2018/2019,Q1,0,0
E06000054,96.6,95.3,1192,1360,2018/2019,Q1,0,0
E10000008,93.8,94,1734,1826,2018/2019,Q1,0,0
E10000013,93.3,93.2,1634,1724,2018/2019,Q1,0,0
E10000027,93.8,92.6,1333,1393,2018/2019,Q1,0,0
E06000059,96.3,96.6,840,845,2018/2019,Q1,0,0
E06000001,95.5,89.9,267,298,2018/2019,Q2,1,0
E06000002,91.6,91.8,511,523,2018/2019,Q2,1,0
E06000003,96.1,94.2,380,379,2018/2019,Q2,1,0
E06000004,95.9,93.6,542,636,2018/2019,Q2,1,0
E06000005,95.6,95.3,298,277,2018/2019,Q2,1,0
E06000047,97.5,97.8,1379,1425,2018/2019,Q2,1,0
E08000021,94.6,93.7,835,824,2018/2019,Q2,1,0
E08000022,98.5,95.8,608,595,2018/2019,Q2,1,0
E08000023,97.8,95.4,459,459,2018/2019,Q2,1,0
E08000024,96.1,90.8,736,805,2018/2019,Q2,1,0
E08000037,96.9,90.1,547,593,2018/2019,Q2,1,0
E06000057,95.7,94.4,736,806,2018/2019,Q2,1,0
E06000006,94.3,92.3,404,375,2018/2019,Q2,1,0
E06000007,96.4,96.8,607,587,2018/2019,Q2,1,0
E06000008,89.1,90.7,525,583,2018/2019,Q2,1,0
E06000009,93.6,90.3,455,493,2018/2019,Q2,1,0
E06000049,95.7,93.9,981,966,2018/2019,Q2,1,0
E06000050,93.4,91.6,893,867,2018/2019,Q2,1,0
E08000001,95.7,92.7,927,1028,2018/2019,Q2,1,0
E08000002,88,87.4,541,604,2018/2019,Q2,1,0
E08000003,91.4,89.8,1904,2007,2018/2019,Q2,1,0
E08000004,95.8,92.4,883,948,2018/2019,Q2,1,0
E08000005,94.5,93.5,775,795,2018/2019,Q2,1,0
E08000006,93.1,92.8,901,969,2018/2019,Q2,1,0
E08000007,95.1,94.1,862,892,2018/2019,Q2,1,0
E08000008,89.9,90.3,754,762,2018/2019,Q2,1,0
E08000009,96.2,93.6,651,750,2018/2019,Q2,1,0
E08000010,95.4,95.6,939,951,2018/2019,Q2,1,0
E08000011,94.2,92.3,538,547,2018/2019,Q2,1,0
E08000012,93.5,91.1,1516,1544,2018/2019,Q2,1,0
E08000013,90,89.4,532,538,2018/2019,Q2,1,0
E08000014,88.1,89.7,715,740,2018/2019,Q2,1,0
E08000015,94.2,93.8,889,930,2018/2019,Q2,1,0
E10000006,95,94.8,1225,1301,2018/2019,Q2,1,0
E10000017,79,89.1,3211,3372,2018/2019,Q2,1,0
E06000010,91.5,91.6,883,981,2018/2019,Q2,1,0
E06000011,96.2,94.9,689,778,2018/2019,Q2,1,0
E06000012,96.2,96.3,505,511,2018/2019,Q2,1,0
E06000013,94.7,91.3,436,503,2018/2019,Q2,1,0
E06000014,94.4,92.1,535,519,2018/2019,Q2,1,0
E08000016,97.4,96.6,730,776,2018/2019,Q2,1,0
E08000017,93.7,90.1,941,933,2018/2019,Q2,1,0
E08000018,97.2,96.1,759,767,2018/2019,Q2,1,0
E08000019,94,92,1707,1682,2018/2019,Q2,1,0
E08000032,93,92,1894,2034,2018/2019,Q2,1,0
E08000033,94.1,94.9,631,643,2018/2019,Q2,1,0
E08000034,94.3,94.7,1286,1381,2018/2019,Q2,1,0
E08000035,94.4,93.2,2586,2679,2018/2019,Q2,1,0
E08000036,96.2,95.9,962,1035,2018/2019,Q2,1,0
E10000023,93.9,93.1,1403,1444,2018/2019,Q2,1,0
E06000015,92.6,89.6,878,920,2018/2019,Q2,1,0
E06000016,94.6,93.6,1321,1307,2018/2019,Q2,1,0
E06000017,89.7,95.9,87,97,2018/2019,Q2,1,0
E06000018,86.6,86.5,1157,1152,2018/2019,Q2,1,0
E10000007,95.5,95,1984,2019,2018/2019,Q2,1,0
E10000018,96.8,96.7,1856,1804,2018/2019,Q2,1,0
E10000019,94.8,89.2,1996,2005,2018/2019,Q2,1,0
E10000021,95.1,91.4,2356,2449,2018/2019,Q2,1,0
E10000024,95.3,94.1,2173,2357,2018/2019,Q2,1,0
E06000019,90.5,89.8,473,470,2018/2019,Q2,1,0
E06000020,93.1,93.2,533,572,2018/2019,Q2,1,0
E06000021,94.3,93,880,925,2018/2019,Q2,1,0
E06000051,94.1,94.4,678,749,2018/2019,Q2,1,0
E08000025,88.7,87.1,4256,4548,2018/2019,Q2,1,0
E08000026,91.2,84.5,1239,1276,2018/2019,Q2,1,0
E08000027,95.7,94.8,960,1029,2018/2019,Q2,1,0
E08000028,93.6,90.5,1191,1247,2018/2019,Q2,1,0
E08000029,92.7,93.6,646,625,2018/2019,Q2,1,0
E08000030,93.8,94.1,1056,977,2018/2019,Q2,1,0
E08000031,92.1,91.3,916,875,2018/2019,Q2,1,0
E10000028,95.4,94.1,2246,2340,2018/2019,Q2,1,0
E10000031,94.4,89.9,1508,1533,2018/2019,Q2,1,0
E10000034,94.6,91.8,1435,1590,2018/2019,Q2,1,0
E06000031,91.5,88.8,773,794,2018/2019,Q2,1,0
E06000032,89.5,85.7,918,972,2018/2019,Q2,1,0
E06000033,89.7,91.7,583,551,2018/2019,Q2,1,0
E06000034,92.4,87.7,686,681,2018/2019,Q2,1,0
E06000055,95.5,94.6,594,555,2018/2019,Q2,1,0
E06000056,95.3,94.9,835,838,2018/2019,Q2,1,0
E10000003,93.9,91.7,1839,1854,2018/2019,Q2,1,0
E10000012,94.5,92.5,4573,4549,2018/2019,Q2,1,0
E10000015,90.8,91.7,3646,3826,2018/2019,Q2,1,0
E10000020,95.6,93.7,2224,2353,2018/2019,Q2,1,0
E10000029,94.6,93.3,1982,2051,2018/2019,Q2,1,0
E09000002,90.6,80.8,912,1032,2018/2019,Q2,1,0
E09000003,86.1,82.1,1370,1350,2018/2019,Q2,1,0
E09000004,91,88.9,841,848,2018/2019,Q2,1,0
E09000005,86.9,81.9,1256,1143,2018/2019,Q2,1,0
E09000006,91.7,91.7,1109,1153,2018/2019,Q2,1,0
E09000007,82,78.1,674,657,2018/2019,Q2,1,0
