ONS_Code,PCV_12m,PCV_24m,Population_12m,Population_24m,Year,Quarter,Timepoint,Vaccine_Schedule
E06000046,82.1,79.8,308,307,2016/2017,Q1,0,0
E10000014,95.3,93.3,3655,3711,2016/2017,Q1,0,0
E06000044,95.3,93.6,662,653,2016/2017,Q1,0,0
E06000045,96.1,94.8,867,861,2016/2017,Q1,0,0
E09000007,85.6,83.1,616,580,2016/2017,Q1,0,0
E09000011,90.7,86.7,1232,1066,2016/2017,Q1,0,0
E09000012,80.7,84,1086,1056,2016/2017,Q1,0,0
E09000013,82.7,72,588,582,2016/2017,Q1,0,0
E09000019,95.9,92.5,567,530,2016/2017,Q1,0,0
E09000020,73.9,70.4,564,550,2016/2017,Q1,0,0
E09000022,89.4,86.7,1166,1043,2016/2017,Q1,0,0
E09000023,89.1,85.9,1162,1060,2016/2017,Q1,0,0
E09000028,87.5,88.6,1098,1025,2016/2017,Q1,0,0
E09000030,87.3,61.6,1084,1036,2016/2017,Q1,0,0
E09000032,88.6,82,1256,1223,2016/2017,Q1,0,0
E09000033,78.6,63.5,569,609,2016/2017,Q1,0,0
E09000002,92.9,88.2,912,922,2016/2017,Q1,0,0
E09000003,89.6,84.2,1217,1282,2016/2017,Q1,0,0
E09000004,93.9,88.9,760,774,2016/2017,Q1,0,0
E09000005,91.5,86.6,1271,1140,2016/2017,Q1,0,0
E09000006,90.6,86.4,1114,1065,2016/2017,Q1,0,0
E09000008,87.4,84,1480,1391,2016/2017,Q1,0,0
E09000009,86,83.2,1282,1361,2016/2017,Q1,0,0
E09000010,90.1,84.1,1108,1094,2016/2017,Q1,0,0
E09000014,90.7,85.8,1016,930,2016/2017,Q1,0,0
E09000015,92.8,88.8,845,831,2016/2017,Q1,0,0
E09000016,96.6,94.1,882,861,2016/2017,Q1,0,0
E09000017,87.5,83.3,1028,1009,2016/2017,Q1,0,0
E09000018,90.6,68,1015,950,2016/2017,Q1,0,0
E09000021,93.2,93.5,676,644,2016/2017,Q1,0,0
E09000024,93.8,88,728,686,2016/2017,Q1,0,0
E09000025,90,88.9,1291,1408,2016/2017,Q1,0,0
E09000026,94.2,92.6,1209,1087,2016/2017,Q1,0,0
E09000027,74.8,66.8,626,608,2016/2017,Q1,0,0
E09000029,93.8,88.1,678,638,2016/2017,Q1,0,0
E09000031,87.8,84.1,1037,1051,2016/2017,Q1,0,0
E06000011,97,93.3,656,745,2016/2017,Q1,0,0
E06000010,96.6,95.3,904,919,2016/2017,Q1,0,0
E06000012,97.3,97.5,437,488,2016/2017,Q1,0,0
E06000013,95,94.7,460,438,2016/2017,Q1,0,0
E10000023,95.7,93.2,1392,1361,2016/2017,Q1,0,0
E06000014,94.5,94.2,523,539,2016/2017,Q1,0,0
E08000016,96.9,96.8,732,665,2016/2017,Q1,0,0
E08000017,93.7,93.3,938,911,2016/2017,Q1,0,0
E08000018,95.2,96.4,714,691,2016/2017,Q1,0,0
E08000019,94.8,92.3,1612,1625,2016/2017,Q1,0,0
E08000032,94,93.8,1961,1889,2016/2017,Q1,0,0
E08000033,95.1,93.7,637,605,2016/2017,Q1,0,0
E08000034,97.2,96.1,1239,1323,2016/2017,Q1,0,0
E08000035,94.2,94.3,2554,2412,2016/2017,Q1,0,0
E08000036,96.5,95.2,986,1056,2016/2017,Q1,0,0
E08000001,97,94.5,911,925,2016/2017,Q1,0,0
E08000002,95,90.3,562,545,2016/2017,Q1,0,0
E08000003,89.8,86.4,2068,2041,2016/2017,Q1,0,0
E08000004,95.3,95.8,866,836,2016/2017,Q1,0,0
E08000005,94.2,95.4,718,677,2016/2017,Q1,0,0
E08000006,94.1,95.2,877,870,2016/2017,Q1,0,0
E08000007,94.7,92.6,830,797,2016/2017,Q1,0,0
