ONS_Code,PCV_12m,PCV_24m,Population_12m,Population_24m,Year,Quarter,Timepoint,Vaccine_Schedule
E06000047,98.3,99.4,1405,1390,2014/2015,Q1,0,0
E06000005,95.6,95.8,295,307,2014/2015,Q1,0,0
E06000001,93.4,93.3,244,284,2014/2015,Q1,0,0
E06000002,95.3,91.9,491,491,2014/2015,Q1,0,0
E08000021,93.9,95.7,774,789,2014/2015,Q1,0,0
E08000022,98,98.4,552,565,2014/2015,Q1,0,0
E06000003,96.2,95.1,344,384,2014/2015,Q1,0,0
E08000023,96.9,98.6,393,418,2014/2015,Q1,0,0
E06000004,100,94.8,619,597,2014/2015,Q1,0,0
E08000024,98.2,97.1,722,760,2014/2015,Q1,0,0
E06000008,95,94.1,519,505,2014/2015,Q1,0,0
E06000009,94.8,91.5,386,402,2014/2015,Q1,0,0
E08000001,97.2,96,936,1030,2014/2015,Q1,0,0
E08000002,93.2,93.9,558,637,2014/2015,Q1,0,0
E06000049,96.6,93.7,906,1073,2014/2015,Q1,0,0
E06000050,96.5,94.4,904,917,2014/2015,Q1,0,0
E10000006,94.7,96.4,1180,1213,2014/2015,Q1,0,0
E06000006,N/A,N.A.,N/A,N.A.,2014/2015,Q1,0,0
E08000011,93.8,95.3,436,532,2014/2015,Q1,0,0
E10000017,89.4,89.3,3030,3196,2014/2015,Q1,0,0
E08000012,95.2,93.4,1314,1455,2014/2015,Q1,0,0
E08000003,94.4,91.3,1785,1760,2014/2015,Q1,0,0
E08000004,97.1,96.3,767,804,2014/2015,Q1,0,0
E08000005,96.9,96.9,719,736,2014/2015,Q1,0,0
E08000006,93.9,95.7,908,901,2014/2015,Q1,0,0
E08000014,94.4,94.4,642,691,2014/2015,Q1,0,0
E08000013,N/A,N.A.,N/A,N.A.,2014/2015,Q1,0,0
E08000007,95.7,93.9,840,908,2014/2015,Q1,0,0
E08000008,96.1,93.3,635,630,2014/2015,Q1,0,0
E08000009,96.9,93.9,683,706,2014/2015,Q1,0,0
E06000007,97.4,95.9,568,635,2014/2015,Q1,0,0
E08000010,96.7,95.7,930,860,2014/2015,Q1,0,0
E08000015,95.6,95.4,848,960,2014/2015,Q1,0,0
E08000016,96.7,95.5,692,796,2014/2015,Q1,0,0
E08000032,95.5,94.6,1892,1983,2014/2015,Q1,0,0
E08000033,97.2,95.9,616,682,2014/2015,Q1,0,0
E08000017,95.8,93.2,936,914,2014/2015,Q1,0,0
E06000011,97.8,96.2,692,766,2014/2015,Q1,0,0
E06000010,96.7,95.3,945,1020,2014/2015,Q1,0,0
E08000034,96.4,97,1348,1334,2014/2015,Q1,0,0
E08000035,95.4,95.3,2435,2550,2014/2015,Q1,0,0
E06000012,95.7,96.6,465,465,2014/2015,Q1,0,0
E06000013,N/A,N.A.,N/A,N.A.,2014/2015,Q1,0,0
E10000023,97.1,95.3,1294,1453,2014/2015,Q1,0,0
E08000018,97.2,94.9,753,786,2014/2015,Q1,0,0
E08000019,92.7,90.7,1664,1683,2014/2015,Q1,0,0
E08000036,96.4,95.3,999,1080,2014/2015,Q1,0,0
E06000014,95.1,94,507,580,2014/2015,Q1,0,0
E06000015,93.5,94.1,930,962,2014/2015,Q1,0,0
E10000007,95.8,95.034377390000003,2438,2618,2014/2015,Q1,0,0
E06000016,95.8,95.7,1200,1267,2014/2015,Q1,0,0
E10000018,N/A,N.A.,N/A,N.A.,2014/2015,Q1,0,0
E10000019,N/A,N.A.,N/A,N.A.,2014/2015,Q1,0,0
E10000021,98.2,96.7,2145,2262,2014/2015,Q1,0,0
E06000018,92.3,91.5,1038,1138,2014/2015,Q1,0,0
E10000024,92.9,91.7,1298,1436,2014/2015,Q1,0,0
E06000017,N/A,N.A.,N/A,N.A.,2014/2015,Q1,0,0
E08000025,90.9,90.7,4209,4348,2014/2015,Q1,0,0
E08000026,96.3,97.1,1081,1175,2014/2015,Q1,0,0
E08000027,97.2,97.2,895,927,2014/2015,Q1,0,0
E06000019,94.6,93.2,441,487,2014/2015,Q1,0,0
E08000028,90.7,91.4,1181,1181,2014/2015,Q1,0,0
E06000051,97.6,95.3,715,785,2014/2015,Q1,0,0
E08000029,95.5,94.5,625,668,2014/2015,Q1,0,0
E10000028,N/A,N.A.,N/A,N.A.,2014/2015,Q1,0,0
E06000021,N/A,N.A.,N/A,N.A.,2014/2015,Q1,0,0
E06000020,97.3,95.5,525,530,2014/2015,Q1,0,0
E08000030,96.7,97.4,885,879,2014/2015,Q1,0,0
E10000031,97.3,95.3,1463,1483,2014/2015,Q1,0,0
E08000031,90.3,90.8,885,931,2014/2015,Q1,0,0
E10000034,94.7,95.3,1460,1680,2014/2015,Q1,0,0
E06000055,97.1,94.9,515,545,2014/2015,Q1,0,0
E10000003,95.1,92.2,1799,1970,2014/2015,Q1,0,0
E06000056,97.2,95.1,815,862,2014/2015,Q1,0,0
E10000012,95.7,95.7,3126,3422,2014/2015,Q1,0,0
E10000015,96.8,95.6,3647,3961,2014/2015,Q1,0,0
E06000032,92.6,90.8,829,883,2014/2015,Q1,0,0
E10000020,N/A,N.A.,N/A,N.A.,2014/2015,Q1,0,0
E06000031,93.1,92.8,756,823,2014/2015,Q1,0,0
E06000033,95.3,94.1,513,593,2014/2015,Q1,0,0
E10000029,N/A,N.A.,N/A,N.A.,2014/2015,Q1,0,0
E06000034,94.2,93.4,556,619,2014/2015,Q1,0,0
E09000002,90.5,87.1,965,1008,2014/2015,Q1,0,0
E09000003,74.099999999999994,73.7,1337,1451,2014/2015,Q1,0,0
E09000004,90.8,89.8,726,822,2014/2015,Q1,0,0
E09000005,88.2,86.1,1319,1458,2014/2015,Q1,0,0
E09000006,94.5,90.5,981,1054,2014/2015,Q1,0,0
E09000007,91,89.6,655,656,2014/2015,Q1,0,0
E09000008,89.2,90,1346,1407,2014/2015,Q1,0,0
E09000009,92.4,88,1335,1464,2014/2015,Q1,0,0
E09000010,N/A,75.400000000000006,1199,1279,2014/2015,Q1,0,0
E09000011,95.1,86.7,1101,1200,2014/2015,Q1,0,0
E09000012,86.4,90.6,1107,1038,2014/2015,Q1,0,0
E09000013,62.5,73.2,608,619,2014/2015,Q1,0,0
E09000014,89.5,86.9,1026,967,2014/2015,Q1,0,0
E09000015,88.2,87,653,713,2014/2015,Q1,0,0
E09000016,92.4,89.7,806,776,2014/2015,Q1,0,0
E09000017,92.5,92,1004,1031,2014/2015,Q1,0,0
E09000018,87.3,83.1,1105,1055,2014/2015,Q1,0,0
E09000019,95.9,96.2,641,703,2014/2015,Q1,0,0
E09000020,72,72,553,550,2014/2015,Q1,0,0
E09000021,94,89.5,604,669,2014/2015,Q1,0,0
E09000022,92.9,91.2,1150,1174,2014/2015,Q1,0,0
E09000023,89.9,83.8,1131,1242,2014/2015,Q1,0,0
E09000024,93.8,88.3,742,780,2014/2015,Q1,0,0
E09000025,91.7,89.3,1451,1473,2014/2015,Q1,0,0
E09000026,89.3,87.8,1191,1231,2014/2015,Q1,0,0
E09000027,91.8,90.3,717,765,2014/2015,Q1,0,0
E09000028,90.3,88.7,1119,1074,2014/2015,Q1,0,0
E09000029,93.9,88.3,690,726,2014/2015,Q1,0,0
E09000030,95.5,94.2,1099,1077,2014/2015,Q1,0,0
E09000031,83.9,85.2,1186,1207,2014/2015,Q1,0,0
E09000032,75.3,81.5,1318,1326,2014/2015,Q1,0,0
E09000033,74.599999999999994,72.599999999999994,602,723,2014/2015,Q1,0,0
E06000036,N/A,N.A.,N/A,N.A.,2014/2015,Q1,0,0
E06000043,92.1,92.3,722,732,2014/2015,Q1,0,0
E10000002,N/A,N.A.,N/A,N.A.,2014/2015,Q1,0,0
E10000011,92.6,92.1,1268,1344,2014/2015,Q1,0,0
E10000014,96.5,94.8,3579,4051,2014/2015,Q1,0,0
E06000046,89.3,89.3,335,346,2014/2015,Q1,0,0
E10000016,90.9,87.9,4333,4603,2014/2015,Q1,0,0
E06000035,91.5,89.8,838,958,2014/2015,Q1,0,0
E06000042,N/A,N.A.,N/A,N.A.,2014/2015,Q1,0,0
E10000025,N/A,N.A.,N/A,N.A.,2014/2015,Q1,0,0
E06000044,94.2,93.7,709,726,2014/2015,Q1,0,0
E06000038,N/A,N.A.,N/A,N.A.,2014/2015,Q1,0,0
E06000039,N/A,N.A.,N/A,N.A.,2014/2015,Q1,0,0
E06000045,96.6,95.8,804,854,2014/2015,Q1,0,0
E10000030,N/A,N.A.,N/A,N.A.,2014/2015,Q1,0,0
E06000037,N/A,N.A.,N/A,N.A.,2014/2015,Q1,0,0
E10000032,96.2,94.2,2239,2426,2014/2015,Q1,0,0
E06000040,N/A,N.A.,N/A,N.A.,2014/2015,Q1,0,0
E06000041,N/A,N.A.,N/A,N.A.,2014/2015,Q1,0,0
E06000022,96.2,95.8,472,503,2014/2015,Q1,0,0
E06000023,95.7,91.8,1643,1580,2014/2015,Q1,0,0
E06000052,94.2,93,1427,1454,2014/2015,Q1,0,0
