ONS_Code,UTLA_Name,Population_12m,PCV_12m,Population_24m,PCV_24m,Year,Quarter,Timepoint,Vaccine_Schedule
E06000001,Hartlepool,224,97.7678571428572,251,90.4382470119522,2022/2023,Q1,0,1
E06000002,Middlesbrough,459,95.2069716775599,422,89.5734597156398,2022/2023,Q1,0,1
E06000003,Redcar and Cleveland,290,96.551724137931,303,94.7194719471947,2022/2023,Q1,0,1
E06000004,Stockton-on-Tees,466,97.2103004291846,532,95.4887218045113,2022/2023,Q1,0,1
E06000005,Darlington,276,96.7391304347826,270,90.7407407407407,2022/2023,Q1,0,1
E06000047,County Durham,1181,98.4758679085521,1183,96.9568892645816,2022/2023,Q1,0,1
E08000021,Newcastle upon Tyne,691,93.4876989869754,682,92.2287390029325,2022/2023,Q1,0,1
E08000022,North Tyneside,463,98.488120950324,506,96.4426877470356,2022/2023,Q1,0,1
E08000023,South Tyneside,405,97.7777777777778,347,97.1181556195966,2022/2023,Q1,0,1
E08000024,Sunderland,638,98.2758620689655,624,96.7948717948718,2022/2023,Q1,0,1
E08000037,Gateshead,462,96.969696969697,455,93.1868131868132,2022/2023,Q1,0,1
E06000057,Northumberland,674,95.4005934718101,636,93.5534591194969,2022/2023,Q1,0,1
E06000006,Halton,335,97.3134328358209,307,90.5537459283388,2022/2023,Q1,0,1
E06000007,Warrington,476,95.5882352941177,501,95.2095808383234,2022/2023,Q1,0,1
E06000008,Blackburn with Darwen,532,92.4812030075188,507,94.2800788954635,2022/2023,Q1,0,1
E06000009,Blackpool,403,94.5409429280397,442,90.9502262443439,2022/2023,Q1,0,1
E06000049,Cheshire East,946,95.9830866807611,945,92.9100529100529,2022/2023,Q1,0,1
E06000050,Cheshire West and Chester,840,96.0714285714286,789,95.6907477820025,2022/2023,Q1,0,1
E08000001,Bolton,855,96.140350877193,942,91.4012738853503,2022/2023,Q1,0,1
E08000002,Bury,526,92.9657794676806,547,91.2248628884826,2022/2023,Q1,0,1
E08000003,Manchester,1695,91.3274336283186,1707,85.4130052724078,2022/2023,Q1,0,1
E08000004,Oldham,751,94.2743009320906,713,87.9382889200561,2022/2023,Q1,0,1
E08000005,Rochdale,692,95.3757225433526,722,89.4736842105263,2022/2023,Q1,0,1
E08000006,Salford,842,90.6175771971497,884,86.9909502262444,2022/2023,Q1,0,1
E08000007,Stockport,810,96.9135802469136,863,94.7856315179606,2022/2023,Q1,0,1
E08000008,Tameside,590,92.5423728813559,605,86.7768595041322,2022/2023,Q1,0,1
E08000009,Trafford,590,95.9322033898305,591,92.8934010152284,2022/2023,Q1,0,1
E08000010,Wigan,820,97.6829268292683,829,92.7623642943305,2022/2023,Q1,0,1
E08000011,Knowsley,460,92.6086956521739,422,84.8341232227488,2022/2023,Q1,0,1
E08000012,Liverpool,1418,89.0691114245416,1377,79.8111837327524,2022/2023,Q1,0,1
E08000013,St. Helens,478,93.3054393305439,456,94.0789473684211,2022/2023,Q1,0,1
E08000014,Sefton,598,94.1471571906355,592,86.1486486486487,2022/2023,Q1,0,1
E08000015,Wirral,753,95.2191235059761,770,91.6883116883117,2022/2023,Q1,0,1
