ONS_Code,PCV_12m,PCV_24m,Population_12m,Population_24m,Year,Quarter,Timepoint,Vaccine_Schedule
E06000001,92.5,92.2,252,256,2015/2016,Q1,0,0
E06000002,94,90.8,486,490,2015/2016,Q1,0,0
E06000003,95.4,95.1,349,348,2015/2016,Q1,0,0
E06000004,94,94.8,550,611,2015/2016,Q1,0,0
E06000005,97.2,96,320,299,2015/2016,Q1,0,0
E06000047,98.4,97.8,1338,1408,2015/2016,Q1,0,0
E08000021,93.9,95,799,778,2015/2016,Q1,0,0
E08000022,99.1,97.5,570,551,2015/2016,Q1,0,0
E08000023,99,94.8,396,406,2015/2016,Q1,0,0
E08000024,97.6,96.7,678,724,2015/2016,Q1,0,0
E06000006,94.5,94.3,361,368,2015/2016,Q1,0,0
E06000007,97.1,95.3,579,580,2015/2016,Q1,0,0
E06000008,91.5,92.4,562,569,2015/2016,Q1,0,0
E06000009,93.3,89.8,431,420,2015/2016,Q1,0,0
E06000049,96.5,92.5,927,923,2015/2016,Q1,0,0
E06000050,96.9,93.6,827,919,2015/2016,Q1,0,0
E08000001,95.7,96.1,915,947,2015/2016,Q1,0,0
E08000002,91.4,92.4,536,566,2015/2016,Q1,0,0
E08000003,89.2,87.4,1980,1926,2015/2016,Q1,0,0
E08000004,96.8,95.7,841,773,2015/2016,Q1,0,0
E08000005,95.5,97.2,682,716,2015/2016,Q1,0,0
E08000006,97,95.9,853,902,2015/2016,Q1,0,0
E08000007,94.6,92.3,803,866,2015/2016,Q1,0,0
E08000008,95.4,92.8,658,638,2015/2016,Q1,0,0
E08000009,96.5,96.4,687,697,2015/2016,Q1,0,0
E08000010,96.5,96.4,861,937,2015/2016,Q1,0,0
E08000011,94.7,94.8,474,460,2015/2016,Q1,0,0
E08000012,95.1,94.9,1398,1314,2015/2016,Q1,0,0
E08000013,93.1,93.7,518,510,2015/2016,Q1,0,0
E08000014,96.4,93.2,686,643,2015/2016,Q1,0,0
E08000015,96.1,93.7,915,854,2015/2016,Q1,0,0
E10000006,96.5,96.1,1184,1156,2015/2016,Q1,0,0
E10000017,90.5,83.2,4179,4524,2015/2016,Q1,0,0
E06000010,96.1,97.4,920,936,2015/2016,Q1,0,0
E06000011,97.2,96.3,722,706,2015/2016,Q1,0,0
E06000012,97.7,96.7,483,479,2015/2016,Q1,0,0
E06000013,N/A,N.A.,N/A,N.A.,2015/2016,Q1,0,0
E06000014,94.2,93.1,531,551,2015/2016,Q1,0,0
E08000016,96.4,96.3,704,705,2015/2016,Q1,0,0
E08000017,93,93.2,898,944,2015/2016,Q1,0,0
E08000018,97.1,94.6,693,766,2015/2016,Q1,0,0
E08000019,94,91.3,1610,1650,2015/2016,Q1,0,0
E08000032,94.8,94.6,1873,1948,2015/2016,Q1,0,0
E08000033,96.2,96.1,598,617,2015/2016,Q1,0,0
E08000034,97.2,96.6,1332,1364,2015/2016,Q1,0,0
E08000035,95.5,93.9,2431,2443,2015/2016,Q1,0,0
E08000036,96.6,96.3,1043,1013,2015/2016,Q1,0,0
E10000023,95.8,95.2,1333,1319,2015/2016,Q1,0,0
E06000015,94.5,91.7,976,919,2015/2016,Q1,0,0
E06000016,95.1,94.8,1293,1222,2015/2016,Q1,0,0
E06000017,N/A,N.A.,N/A,N.A.,2015/2016,Q1,0,0
E06000018,92.6,89.6,1015,1022,2015/2016,Q1,0,0
E10000007,N/A,N.A.,N/A,N.A.,2015/2016,Q1,0,0
E10000018,N/A,N.A.,N/A,N.A.,2015/2016,Q1,0,0
E10000019,N/A,N.A.,N/A,N.A.,2015/2016,Q1,0,0
E10000021,96.9,97.4,2156,2150,2015/2016,Q1,0,0
E10000024,93.1,90.6,1324,1292,2015/2016,Q1,0,0
E06000019,94.9,94.6,409,444,2015/2016,Q1,0,0
E06000020,96.3,95.9,515,531,2015/2016,Q1,0,0
E06000021,N/A,N.A.,N/A,N.A.,2015/2016,Q1,0,0
E06000051,97.6,97.2,705,725,2015/2016,Q1,0,0
E08000025,N/A,N.A.,N/A,N.A.,2015/2016,Q1,0,0
E08000026,97.7,95.6,1110,1050,2015/2016,Q1,0,0
E08000027,97.1,97.2,934,894,2015/2016,Q1,0,0
E08000028,91.8,88.3,1144,1204,2015/2016,Q1,0,0
E08000029,94.8,94.3,629,652,2015/2016,Q1,0,0
E08000030,96.5,97.8,808,861,2015/2016,Q1,0,0
E08000031,89.9,90.6,838,817,2015/2016,Q1,0,0
E10000028,N/A,N.A.,N/A,N.A.,2015/2016,Q1,0,0
E10000031,97.6,98.6,1311,1314,2015/2016,Q1,0,0
E10000034,96.1,94.5,1472,1503,2015/2016,Q1,0,0
E06000031,94.5,92.8,726,754,2015/2016,Q1,0,0
E06000032,94,88.4,853,845,2015/2016,Q1,0,0
E06000033,94.1,93.9,526,506,2015/2016,Q1,0,0
E06000034,94.3,94,564,571,2015/2016,Q1,0,0
