ONS_Code,PCV_12m,PCV_24m,Population_12m,Population_24m,Year,Quarter,Timepoint,Vaccine_Schedule
E06000046,90.7,80.6,279,310,2017/2018,Q1,0,0
E10000014,95.6,91.9,3769,3738,2017/2018,Q1,0,0
E06000044,96.6,94.8,649,659,2017/2018,Q1,0,0
E06000045,94.8,92.9,828,874,2017/2018,Q1,0,0
E09000007,86,81.3,673,604,2017/2018,Q1,0,0
E09000011,90.8,83.6,1125,1197,2017/2018,Q1,0,0
E09000012,77.9,74.9,1106,1077,2017/2018,Q1,0,0
E09000013,86.1,77.6,596,581,2017/2018,Q1,0,0
E09000019,93.2,85.6,711,641,2017/2018,Q1,0,0
E09000020,83,72.4,606,616,2017/2018,Q1,0,0
E09000022,88.6,86.1,1122,1114,2017/2018,Q1,0,0
E09000023,89.8,87.2,1114,1104,2017/2018,Q1,0,0
E09000028,91.2,85.7,1037,1002,2017/2018,Q1,0,0
E09000030,68.6,66.2,1136,1013,2017/2018,Q1,0,0
E09000032,92.8,87.6,1241,1165,2017/2018,Q1,0,0
E09000033,82.5,72.9,481,432,2017/2018,Q1,0,0
E09000002,86.4,81.7,856,885,2017/2018,Q1,0,0
E09000003,89.8,81,1227,357,2017/2018,Q1,0,0
E09000004,94.3,87.8,731,769,2017/2018,Q1,0,0
E09000005,91.1,85.4,1232,1256,2017/2018,Q1,0,0
E09000006,94.2,90.8,1067,1058,2017/2018,Q1,0,0
E09000008,88.1,82.9,1373,1354,2017/2018,Q1,0,0
E09000009,91.1,83.3,1269,1255,2017/2018,Q1,0,0
E09000010,90,82.1,1042,1159,2017/2018,Q1,0,0
E09000014,87.8,81.2,988,964,2017/2018,Q1,0,0
E09000015,87.3,84.4,866,839,2017/2018,Q1,0,0
E09000016,89.7,91,871,878,2017/2018,Q1,0,0
E09000017,92.6,83.9,1096,1076,2017/2018,Q1,0,0
E09000018,91.8,81.8,1001,982,2017/2018,Q1,0,0
E09000021,90.2,88.1,583,670,2017/2018,Q1,0,0
E09000024,93.2,85.9,688,721,2017/2018,Q1,0,0
E09000025,72,68.5,1321,1363,2017/2018,Q1,0,0
E09000026,86.7,82.4,1142,1232,2017/2018,Q1,0,0
E09000027,93.9,86.7,652,655,2017/2018,Q1,0,0
E09000029,93.8,92.2,617,631,2017/2018,Q1,0,0
E09000031,85.4,72.5,983,1063,2017/2018,Q1,0,0
E06000011,96.5,96.1,662,664,2017/2018,Q1,0,0
E06000010,95.9,94.4,886,905,2017/2018,Q1,0,0
E06000012,97.1,96.8,482,437,2017/2018,Q1,0,0
E06000013,95.4,95.3,458,470,2017/2018,Q1,0,0
E10000023,95.6,92.6,1430,1397,2017/2018,Q1,0,0
E06000014,96,92.9,479,510,2017/2018,Q1,0,0
E08000016,97.8,97.2,727,763,2017/2018,Q1,0,0
E08000017,92.3,92,896,930,2017/2018,Q1,0,0
E08000018,96.1,93.8,736,737,2017/2018,Q1,0,0
E08000019,93.4,92.9,1586,1611,2017/2018,Q1,0,0
E08000032,93.9,92.8,1960,1975,2017/2018,Q1,0,0
E08000033,94.2,96.1,624,636,2017/2018,Q1,0,0
E08000034,95.4,96.5,1285,1255,2017/2018,Q1,0,0
E08000035,94.1,92.4,2563,2543,2017/2018,Q1,0,0
E08000036,96.9,95.3,1068,998,2017/2018,Q1,0,0
E08000001,98.4,97.1,918,869,2017/2018,Q1,0,0
E08000002,91,91.4,602,569,2017/2018,Q1,0,0
E08000003,94.1,90.1,2033,1977,2017/2018,Q1,0,0
E08000004,96.1,93.1,843,901,2017/2018,Q1,0,0
E08000005,96.1,93.6,745,736,2017/2018,Q1,0,0
E08000006,94.3,94.5,870,889,2017/2018,Q1,0,0
E08000007,94.3,92.9,875,854,2017/2018,Q1,0,0
E08000008,95.4,95.3,755,704,2017/2018,Q1,0,0
E08000009,96.2,95.2,686,687,2017/2018,Q1,0,0
E08000010,98,96.4,883,890,2017/2018,Q1,0,0
E10000017,89.3,89.1,3239,3266,2017/2018,Q1,0,0
E06000008,93.4,92.6,562,537,2017/2018,Q1,0,0
E06000009,93.5,94.5,449,455,2017/2018,Q1,0,0
E06000001,93.6,97,236,263,2017/2018,Q1,0,0
E06000002,95.6,93.3,455,479,2017/2018,Q1,0,0
E06000003,96.6,96.6,378,350,2017/2018,Q1,0,0
E06000004,95.3,94.6,576,572,2017/2018,Q1,0,0
E06000047,98.1,97.1,1371,1391,2017/2018,Q1,0,0
E06000005,97.8,96.8,275,280,2017/2018,Q1,0,0
E10000006,96.3,96.7,1203,1218,2017/2018,Q1,0,0
E08000021,95.9,94.9,821,867,2017/2018,Q1,0,0
E08000022,96.9,96.9,557,585,2017/2018,Q1,0,0
E08000023,98.3,95.4,459,390,2017/2018,Q1,0,0
E08000024,96.7,95.9,737,748,2017/2018,Q1,0,0
E08000015,96.6,94.2,859,868,2017/2018,Q1,0,0
E06000007,96,96.3,582,593,2017/2018,Q1,0,0
E06000049,94.9,93.8,903,986,2017/2018,Q1,0,0
E06000050,97.9,92.4,876,962,2017/2018,Q1,0,0
E08000011,93.4,92.8,488,486,2017/2018,Q1,0,0
E08000012,94.4,93.3,1490,1440,2017/2018,Q1,0,0
E08000014,95,91.2,655,651,2017/2018,Q1,0,0
E08000013,93.2,90.4,514,502,2017/2018,Q1,0,0
E06000006,96.6,93.8,350,384,2017/2018,Q1,0,0
E10000007,97.6,95.1,1858,1933,2017/2018,Q1,0,0
E06000015,94.1,88,842,936,2017/2018,Q1,0,0
E10000024,95.3,94.4,2088,2158,2017/2018,Q1,0,0
E06000018,91.3,87.7,1121,993,2017/2018,Q1,0,0
E10000028,96,94.5,2162,2181,2017/2018,Q1,0,0
E06000021,95.1,93.3,905,891,2017/2018,Q1,0,0
E06000051,96.4,93.6,703,738,2017/2018,Q1,0,0
E06000020,95.8,95.8,525,520,2017/2018,Q1,0,0
E10000031,98.8,96.6,1364,1365,2017/2018,Q1,0,0
E08000026,92.7,95.7,1098,1014,2017/2018,Q1,0,0
E06000019,95.5,96.3,422,408,2017/2018,Q1,0,0
E10000034,96.1,93.1,1430,1491,2017/2018,Q1,0,0
E08000025,90.8,86.1,4441,4290,2017/2018,Q1,0,0
E08000027,96.5,95.1,956,932,2017/2018,Q1,0,0
E08000028,92.5,89.5,1075,952,2017/2018,Q1,0,0
E08000029,95,94.9,521,450,2017/2018,Q1,0,0
E08000030,95.8,93.3,934,953,2017/2018,Q1,0,0
E08000031,93.1,93.5,915,863,2017/2018,Q1,0,0
E10000021,95.6,94.3,2268,2298,2017/2018,Q1,0,0
E10000015,95.1,93.3,3689,3762,2017/2018,Q1,0,0
E06000032,91.9,85.2,903,870,2017/2018,Q1,0,0
E06000042,95.9,94.3,954,996,2017/2018,Q1,0,0
E06000055,96.9,92.8,519,530,2017/2018,Q1,0,0
E06000056,97.7,95.8,784,807,2017/2018,Q1,0,0
E10000019,95,90.3,1922,2017,2017/2018,Q1,0,0
E10000018,96.7,95.8,1856,1848,2017/2018,Q1,0,0
E06000016,95.3,93.2,1307,1194,2017/2018,Q1,0,0
E06000017,94.8,96.4,96,112,2017/2018,Q1,0,0
E10000020,96.5,94.8,2269,2275,2017/2018,Q1,0,0
E10000029,94.4,94.1,1965,1991,2017/2018,Q1,0,0
E10000003,93.8,94.1,1830,1856,2017/2018,Q1,0,0
E06000031,93.6,91.3,687,763,2017/2018,Q1,0,0
E10000012,94.3,94,4293,4383,2017/2018,Q1,0,0
E06000033,94.8,92.6,522,528,2017/2018,Q1,0,0
E06000034,91,88,647,618,2017/2018,Q1,0,0
E10000027,95.8,94,1365,1410,2017/2018,Q1,0,0
E06000023,93.6,90,1597,1510,2017/2018,Q1,0,0
E06000024,94.9,93.8,572,565,2017/2018,Q1,0,0
E06000025,95.3,94.4,716,808,2017/2018,Q1,0,0
E06000052,93.4,90.9,1376,1427,2017/2018,Q1,0,0
E10000008,94.4,92.3,1804,1849,2017/2018,Q1,0,0
E06000026,97.7,96.8,708,726,2017/2018,Q1,0,0
E06000027,96.9,95.2,351,336,2017/2018,Q1,0,0
E10000016,87.2,90.6,4253,4484,2017/2018,Q1,0,0
E06000035,83.4,87.6,931,990,2017/2018,Q1,0,0
E10000030,,,,,2017/2018,Q1,0,0
E10000032,95.6,94.8,2241,2343,2017/2018,Q1,0,0
E10000011,93.9,91.6,1280,1372,2017/2018,Q1,0,0
E06000043,91.4,88.4,699,675,2017/2018,Q1,0,0
E06000054,97.9,94.6,1333,1286,2017/2018,Q1,0,0
E06000030,94.8,95.3,736,741,2017/2018,Q1,0,0
E10000013,95.1,93.2,1654,1651,2017/2018,Q1,0,0
E06000022,94.7,92.2,492,488,2017/2018,Q1,0,0
E10000025,96.2,95,1916,1991,2017/2018,Q1,0,0
E10000002,95.1,94,1613,1688,2017/2018,Q1,0,0
E06000036,94.3,95.4,383,392,2017/2018,Q1,0,0
E06000037,89.3,93.2,450,385,2017/2018,Q1,0,0
E06000038,90.1,89,729,755,2017/2018,Q1,0,0
E06000039,93.9,85.3,668,632,2017/2018,Q1,0,0
E06000040,95.3,91.7,469,445,2017/2018,Q1,0,0
E06000041,94.9,91,392,390,2017/2018,Q1,0,0
E06000059,97.1,95.2,815,868,2017/2018,Q1,0,0
E06000057,97.6,95.5,741,729,2017/2018,Q1,0,0
E08000037,94.4,91.4,570,603,2017/2018,Q1,0,0
E06000046,88.5,74.7,304,363,2017/2018,Q2,1,0
E10000014,93.3,91.3,3793,3877,2017/2018,Q2,1,0
E06000044,95.7,95.8,715,690,2017/2018,Q2,1,0
E06000045,96.1,93.7,814,831,2017/2018,Q2,1,0
E09000007,91.3,80.6,641,633,2017/2018,Q2,1,0
E09000011,91,83.6,1170,1178,2017/2018,Q2,1,0
E09000012,76.8,75.7,1148,1091,2017/2018,Q2,1,0
E09000013,88.3,79,608,548,2017/2018,Q2,1,0
E09000019,89.9,85.9,714,695,2017/2018,Q2,1,0
E09000020,82,76.4,643,640,2017/2018,Q2,1,0
E09000022,87.3,81.4,1217,1221,2017/2018,Q2,1,0
E09000023,90.5,86.7,1202,1209,2017/2018,Q2,1,0
E09000028,89.5,85.1,1043,1061,2017/2018,Q2,1,0
E09000030,87.6,82.3,1079,1041,2017/2018,Q2,1,0
E09000032,91.1,85.9,1323,1238,2017/2018,Q2,1,0
E09000033,85.5,72.8,470,493,2017/2018,Q2,1,0
E09000002,91.6,84.1,892,971,2017/2018,Q2,1,0
E09000003,92.5,86.4,1251,537,2017/2018,Q2,1,0
E09000004,95.1,86.2,822,805,2017/2018,Q2,1,0
E09000005,89.5,82.6,1155,1226,2017/2018,Q2,1,0
E09000006,93.7,88.4,1130,1095,2017/2018,Q2,1,0
E09000008,87.2,81.6,1433,1389,2017/2018,Q2,1,0
E09000009,90,80.6,1308,1247,2017/2018,Q2,1,0
