ONS_Code,UTLA_Name,Population_12m,PCV_12m,Population_24m,PCV_24m,Year,Quarter,Timepoint,Vaccine_Schedule
E06000001,Hartlepool,224,97.3214285714286,231,95.2380952380952,2023/2024,Q1,0,1
E06000002,Middlesbrough,432,96.2962962962963,482,87.7593360995851,2023/2024,Q1,0,1
E06000003,Redcar and Cleveland,312,97.1153846153846,298,92.9530201342282,2023/2024,Q1,0,1
E06000004,Stockton-on-Tees,473,95.9830866807611,489,93.0470347648262,2023/2024,Q1,0,1
E06000005,Darlington,253,95.6521739130435,278,94.9640287769784,2023/2024,Q1,0,1
E06000047,County Durham,1149,97.8241949521323,1200,96.3333333333333,2023/2024,Q1,0,1
E08000021,Newcastle upon Tyne,727,96.1485557083907,716,92.4581005586592,2023/2024,Q1,0,1
E08000022,North Tyneside,483,99.1718426501035,476,96.8487394957983,2023/2024,Q1,0,1
E08000023,South Tyneside,364,97.5274725274725,408,96.078431372549,2023/2024,Q1,0,1
E08000024,Sunderland,632,98.2594936708861,672,95.3869047619048,2023/2024,Q1,0,1
E08000037,Gateshead,438,96.3470319634703,471,92.5690021231423,2023/2024,Q1,0,1
E06000057,Northumberland,641,98.4399375975039,685,97.6642335766423,2023/2024,Q1,0,1
E06000006,Halton,287,94.0766550522648,335,92.5373134328358,2023/2024,Q1,0,1
E06000007,Warrington,447,95.9731543624161,483,92.3395445134576,2023/2024,Q1,0,1
E06000008,Blackburn with Darwen,524,91.030534351145,541,87.6155268022181,2023/2024,Q1,0,1
E06000009,Blackpool,393,95.1653944020356,409,93.398533007335,2023/2024,Q1,0,1
E06000049,Cheshire East,915,95.6284153005464,990,92.6262626262626,2023/2024,Q1,0,1
E06000050,Cheshire West and Chester,841,96.7895362663496,864,93.0555555555556,2023/2024,Q1,0,1
E08000001,Bolton,918,93.0283224400871,882,91.2698412698413,2023/2024,Q1,0,1
E08000002,Bury,488,84.6311475409836,556,80.0359712230216,2023/2024,Q1,0,1
E08000003,Manchester,1738,92.3475258918297,1716,84.4988344988345,2023/2024,Q1,0,1
E08000004,Oldham,740,90.2702702702703,764,83.7696335078534,2023/2024,Q1,0,1
E08000005,Rochdale,687,90.684133915575,717,84.5188284518829,2023/2024,Q1,0,1
E08000006,Salford,854,91.3348946135831,851,87.1915393654524,2023/2024,Q1,0,1
E08000007,Stockport,777,95.2380952380952,839,92.7294398092968,2023/2024,Q1,0,1
E08000008,Tameside,546,92.1245421245421,606,89.1089108910891,2023/2024,Q1,0,1
E08000009,Trafford,510,94.7058823529412,600,92,2023/2024,Q1,0,1
E08000010,Wigan,920,95.3260869565217,840,93.5714285714286,2023/2024,Q1,0,1
E08000011,Knowsley,444,89.4144144144144,479,85.1774530271399,2023/2024,Q1,0,1
E08000012,Liverpool,1390,87.0503597122302,1446,82.5034578146611,2023/2024,Q1,0,1
E08000013,St. Helens,478,96.4435146443515,481,88.981288981289,2023/2024,Q1,0,1
E08000014,Sefton,583,93.4819897084048,631,88.9064976228209,2023/2024,Q1,0,1
E08000015,Wirral,736,96.3315217391304,763,93.0537352555701,2023/2024,Q1,0,1
E10000006,Cumbria,1012,97.8260869565217,1035,93.816425120773,2023/2024,Q1,0,1
E10000017,Lancashire,2895,93.0915371329879,2952,89.5663956639566,2023/2024,Q1,0,1
E06000010,Kingston upon Hull,814,94.2260442260442,847,88.7839433293979,2023/2024,Q1,0,1
E06000011,East Riding of Yorkshire,581,97.0740103270224,657,93.9117199391172,2023/2024,Q1,0,1
E06000012,North East Lincolnshire,385,97.1428571428572,394,94.1624365482234,2023/2024,Q1,0,1
E06000013,North Lincolnshire,399,91.9799498746867,421,89.7862232779097,2023/2024,Q1,0,1
E06000014,York,387,97.1576227390181,447,94.8545861297539,2023/2024,Q1,0,1
E08000016,Barnsley,652,96.9325153374233,644,94.2546583850932,2023/2024,Q1,0,1
E08000017,Doncaster,878,94.4191343963553,899,89.5439377085651,2023/2024,Q1,0,1
E08000018,Rotherham,632,96.3607594936709,669,92.8251121076233,2023/2024,Q1,0,1
E08000019,Sheffield,1385,94.8014440433213,1446,89.6265560165975,2023/2024,Q1,0,1
E08000032,Bradford,1663,92.9645219482862,1741,85.4681217690982,2023/2024,Q1,0,1
E08000033,Calderdale,479,94.1544885177453,511,91.7808219178082,2023/2024,Q1,0,1
E08000034,Kirklees,1151,94.2658557775847,1177,90.6542056074766,2023/2024,Q1,0,1
E08000035,Leeds,2081,92.7438731379145,2163,87.2399445214979,2023/2024,Q1,0,1
E08000036,Wakefield,947,95.7761351636748,1005,93.8308457711443,2023/2024,Q1,0,1
E10000023,North Yorkshire,1153,97.398091934085,1238,94.4264943457189,2023/2024,Q1,0,1
E06000015,Derby,809,95.6736711990111,824,89.6844660194175,2023/2024,Q1,0,1
E06000016,Leicester,1112,94.3345323741007,1007,85.9980139026813,2023/2024,Q1,0,1
E06000017,Rutland,72,91.6666666666667,80,92.5,2023/2024,Q1,0,1
E06000018,Nottingham,884,92.1945701357466,896,84.8214285714286,2023/2024,Q1,0,1
E10000007,Derbyshire,1711,97.4284044418469,1796,95.5456570155902,2023/2024,Q1,0,1
E10000018,Leicestershire,1608,96.455223880597,1692,95.2127659574468,2023/2024,Q1,0,1
E10000019,Lincolnshire,1622,94.8212083847102,1701,90.5937683715461,2023/2024,Q1,0,1
E10000024,Nottinghamshire,1892,95.7188160676533,2048,92.28515625,2023/2024,Q1,0,1
E06000019,Herefordshire,390,96.9230769230769,389,92.8020565552699,2023/2024,Q1,0,1
E06000020,Telford and Wrekin,510,96.078431372549,483,91.304347826087,2023/2024,Q1,0,1
E06000021,Stoke-on-Trent,747,95.0468540829987,742,89.2183288409704,2023/2024,Q1,0,1
E06000051,Shropshire,619,97.4151857835218,662,94.8640483383686,2023/2024,Q1,0,1
E08000025,Birmingham,3653,87.927730632357,3693,80.7744381261847,2023/2024,Q1,0,1
E08000026,Coventry,1057,91.8637653736991,1091,85.7011915673694,2023/2024,Q1,0,1
E08000027,Dudley,830,95.3012048192771,873,92.6689576174112,2023/2024,Q1,0,1
E08000028,Sandwell,1031,92.2405431619787,1088,87.1323529411765,2023/2024,Q1,0,1
E08000029,Solihull,533,93.8086303939963,554,90.4332129963899,2023/2024,Q1,0,1
E08000030,Walsall,855,94.1520467836257,885,88.135593220339,2023/2024,Q1,0,1
E08000031,Wolverhampton,800,89.625,847,85.0059031877214,2023/2024,Q1,0,1
E10000028,Staffordshire,2009,95.9681433549029,2033,92.1298573536645,2023/2024,Q1,0,1
E10000031,Warwickshire,1439,94.9270326615705,1495,92.5752508361204,2023/2024,Q1,0,1
E10000034,Worcestershire,1242,96.6183574879227,1397,94.0586972083035,2023/2024,Q1,0,1
E06000031,Peterborough,611,88.2160392798691,695,80.7194244604317,2023/2024,Q1,0,1
E06000032,Luton,911,92.6454445664105,875,84.6857142857143,2023/2024,Q1,0,1
E06000033,Southend-on-Sea,478,92.4686192468619,443,93.0022573363431,2023/2024,Q1,0,1
E06000034,Thurrock,526,91.6349809885932,600,85,2023/2024,Q1,0,1
E06000055,Bedford,518,94.4015444015444,521,91.362763915547,2023/2024,Q1,0,1
E06000056,Central Bedfordshire,782,95.7800511508951,844,93.0094786729858,2023/2024,Q1,0,1
E10000003,Cambridgeshire,1666,96.2785114045618,1821,92.2020867655135,2023/2024,Q1,0,1
E10000012,Essex,3877,94.5834408047459,4147,91.1261152640463,2023/2024,Q1,0,1
E10000015,Hertfordshire,3197,94.150766343447,3529,91.3856616605271,2023/2024,Q1,0,1
E10000020,Norfolk,1851,95.3538627768774,2023,93.9199209095403,2023/2024,Q1,0,1
E10000029,Suffolk,1692,95.5673758865248,1774,92.728297632469,2023/2024,Q1,0,1
E09000002,Barking and Dagenham,803,90.1618929016189,806,78.6600496277916,2023/2024,Q1,0,1
E09000003,Barnet,1139,88.6742756804214,1222,82.8968903436989,2023/2024,Q1,0,1
E09000004,Bexley,714,93.1372549019608,657,88.2800608828006,2023/2024,Q1,0,1
E09000005,Brent,1089,91.0009182736456,1026,83.6257309941521,2023/2024,Q1,0,1
E09000006,Bromley,869,94.9367088607595,902,86.2527716186253,2023/2024,Q1,0,1
E09000007,Camden,565,89.2035398230089,661,74.8865355521937,2023/2024,Q1,0,1
E09000008,Croydon,1149,86.6840731070496,1221,76.8222768222768,2023/2024,Q1,0,1
E09000009,Ealing,1102,92.9219600725953,1238,86.6720516962843,2023/2024,Q1,0,1
E09000010,Enfield,992,86.5927419354839,999,76.1761761761762,2023/2024,Q1,0,1
